Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,BioRad Cq,Thermo Cq,Cq Confidence,Cq Mean,Cq SD,,
31,B7,FALSE,103,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
32,B8,FALSE,Pos Cntrl,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
32,B8,FALSE,Pos Cntrl,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
32,B8,FALSE,Pos Cntrl,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
33,B9,FALSE,133,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
33,B9,FALSE,133,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
33,B9,FALSE,133,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
49,C1,FALSE,2,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
49,C1,FALSE,2,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
49,C1,FALSE,2,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
58,C10,FALSE,142,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
58,C10,FALSE,142,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,34.66121239,NaN,0,,,,
58,C10,FALSE,142,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
59,C11,FALSE,158,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
59,C11,FALSE,158,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
59,C11,FALSE,158,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
60,C12,FALSE,174,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
60,C12,FALSE,174,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
60,C12,FALSE,174,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
61,C13,FALSE,190,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.542858406,NaN,24.48069954,0.988158288,24.48069954,,,
61,C13,FALSE,190,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.620050536,NaN,33.68017197,0.980534762,33.68017197,,,
61,C13,FALSE,190,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.426985897,NaN,30.63506889,0.989414814,30.63506889,,,
62,C14,FALSE,206,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.576114518,NaN,24.57548141,0.983602068,24.57548141,,,
62,C14,FALSE,206,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.332846622,NaN,30.61170387,0.932397651,30.61170387,,,
62,C14,FALSE,206,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.389141975,NaN,27.51833916,0.988308655,27.51833916,,,
63,C15,FALSE,220,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.513907899,NaN,24.85696411,0.976406801,24.85696411,,,
63,C15,FALSE,220,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.580701971,NaN,33.94694901,0.976501082,33.94694901,,,
63,C15,FALSE,220,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.373822046,NaN,31.30205154,0.960663629,31.30205154,,,
64,C16,FALSE,236,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.521688554,NaN,25.10997581,0.989812667,25.10997581,,,
64,C16,FALSE,236,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.451187254,NaN,32.38250351,0.967209245,32.38250351,,,
64,C16,FALSE,236,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.293359743,NaN,29.22221947,0.97563328,29.22221947,,,
65,C17,FALSE,252,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
65,C17,FALSE,252,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
65,C17,FALSE,252,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
66,C18,FALSE,268,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
66,C18,FALSE,268,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
66,C18,FALSE,268,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
67,C19,FALSE,284,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
67,C19,FALSE,284,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
67,C19,FALSE,284,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.31341469,NaN,NaN,0,,,,
50,C2,FALSE,18,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
50,C2,FALSE,18,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
50,C2,FALSE,18,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
68,C20,FALSE,300,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.17888772,NaN,0,,,,
68,C20,FALSE,300,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,31.96271267,NaN,0,,,,
68,C20,FALSE,300,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,29.44341942,NaN,0,,,,
69,C21,FALSE,314,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.27593477,NaN,0,,,,
69,C21,FALSE,314,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,28.06896251,NaN,0,,,,
69,C21,FALSE,314,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,27.20776066,NaN,0,,,,
70,C22,FALSE,330,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.61350244,NaN,0,,,,
70,C22,FALSE,330,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,32.54940952,NaN,0,,,,
70,C22,FALSE,330,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,29.11863741,NaN,0,,,,
71,C23,FALSE,346,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,25.11883636,NaN,0,,,,
71,C23,FALSE,346,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,28.71037907,NaN,0,,,,
71,C23,FALSE,346,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,26.99234546,NaN,0,,,,
72,C24,FALSE,362,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
72,C24,FALSE,362,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,1.635982484,NaN,NaN,0,,,,
72,C24,FALSE,362,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.820580037,NaN,NaN,0,,,,
52,C4,FALSE,48,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
52,C4,FALSE,48,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
52,C4,FALSE,48,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
