Well,Fluor,Target,Content,Sample,Biological Set Name,BioRad Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B23,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B23,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B24,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B24,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B24,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C01,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C01,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C01,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C02,FAM,,Unkn,,,34.66121239,34.66121239,0,NaN,NaN,NaN,0,55,
C02,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C02,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C03,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C04,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
C05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
